answer	clue
AA	Cooled lava.
AA	Lava.
AAA	Battery size
AAA	Travel org.
AAAA	Small Energizer size
AAAA	1.5-volt battery
AAAAA	Ideal report card?
AAAAAA	Next-to-narrowest show width
AAAAQ	Excellent poker hand
AAAAS	Shoe sizes
BA	"Yuck!"
BAA	Farmyard cry
BAA	Sheepish remark?
BAABAA	Nursery rhyme opening
BAABAA	Line at the shearing shed?
BAAED	Whined on a farm
BAAED	Acted sheepish?
BAAING	Emitting a 118 Across
BAAING	Sound from a lea
BAAL	False god
CA	See 34-Across
CAA	One-time FCC kin
CAA	21st U.S. pres.
CAABA	Mecca shrine.
CAABA	Moslem shrine.
CAALA	Occult science
CAAM	Heddles of a loom.
CAAM	Loom heddles.
CAAMA	Hartebeest.
CAAMA	South African fox.
DA	Prosecutor, briefly
DA	Poet's preposition
DAAE	Christine ___ (29-Down's love)
DAB	Flounder kin
DAB	Pat gently
DABA	"The Aba ___ Honeymoon"
DABA	Lyric after "baba"
DABAT	Blot with a tissue
DABAT	Handle gently, as a stain
DABBA	"Yabba ___ Doo!"
EAA	Degree for space men
EAA	Degree for a NASA worker
EAASER	One who samples oolong
EACE	Part of the "Stepquote."
EACH	"__ Dawn I Die" (Cagney flick)
EACH	A shot
EACUTE	Cliché ending
EAD	Where a Cockney puts 'is 'at
EAD	The same, on prescriptions
EADG	Violin tuning
FA	Fourth tone of a musical scale
FAA	JFK overseers
FAA	Air travel overseer: abbr.
FAB	Detergent
FAB	Super, to a Beatles fan
FABA	Bean, to Vergil
FABER	Big name in pencils
FABER	"Animal House" college
FABI	Formula One racer Teo __
FABI	Teo of Formula One fame
GAASH	Burial-place of Joshua.
GAB	Chatter
GAB	Dish
GABA	Biblical name.
GABARS	Zoroastrians
GABBED	Yakked away
GABBED	Yakked
GABBER	One prone to flapping
GABBER	Chatterbox
GABBLE	Talk double-talk
HA	Exclamation of surprise.
HA	Exclamation.
HAA	Heavy antiaircraft: Abbr.
HAA	Den ___ (Dutch capital)
HAABAI	Island group in the Tongas
HAABS	Mayan calendar years.
HAAG	Den ___, Nederland
HAAG	Den ____ (major court setting)
HAAGEN	___-Dazs
HAAGEN	__-Dazs
I DO	Words of affirmation
IAC	Debriefing: Abbr.
IACT	Short drama.
IAD	Code for DC's main airport
IAD	Start of the Christian era
IADMIT	Start of a guilty plea?
IADMIT	Concession start
IAEA	Atomic agency of the U.N.
IAFO	Othello's worst friend
IAGO	Shakesperean villain
JAAL	Kind of African goat
JAB	Vaccination, to Brits
JAB	Vax, to some Brits
JABAL	Son of Lamech, in Genesis.
JABARA	American ace.
JABAT	Poke with one's fork
JABAT	Try to punch
JABBA	"Star Wars" gangster
JABBA	"The Hutt" of sci-fi
JABBAR	Kareem Abdul-___
KA	Mummy's spirit.
KA	Unknown Hindu god.
KAA	Snake in "The Jungle Book"
KAA	"The Jungle Book" snake
KAABA	Sacred Muslim site in Mecca
KAABA	Hajji's destination
KAALA	Oahu's highest peak
KAAMA	Hartebeest.
KAAMA	African antelope.
KAAN	Turkish inn: Var.
LA	A note in the musical scale.
LA	Note of the scale.
LAA	Rival of SEA and OAK
LAA	Doubled, a Teletubby
LAAGTE	South African river bed.
LAALAA	Yellow Teletubby
LAALAA	Teletubby with a curly antenna
LAANE	Town in W Estonia.
LAAP	Sweet tree secretion
LAAP	Tree secretion
MA	But: musical.
MAA	Bleating comment
MAA	Lamb's lament
MAACO	Auto-body repair chain
MAACO	Meineke purchase of 2008
MAAD	Fermented drink
MAAED	Bleated
MAAED	Acted like a kid?
MAAING	Bleating.
MAAING	Sounding sheepish
NAA	Nothing, in Nayarit
NAA	Pilots' org.
NAAB	Schwandorf's river
NAACP	Civil rights org.
NAACP	Image Award org.
NAAM	Son of Caleb.
NAAM	Old English legal word
NAAMAN	Jordan bather
NAAMS	Levys on chattels: Eng. law.
NAAMS	Distrains: Hist.
OAC	Financial terms abbr.
OAF	Clod
OAF	Lout
OAFISH	Lumbering
OAFISH	Clumsy
OAFS	Bumpkins
OAFS	Dolts
OAHE	Dam in South Dakota.
OAHE	Missouri River dam
OAHU	Waikiki site
PA	State: Abbr.
PAAK	Musician Anderson .___
PAAK	Rapper Anderson .___
PAAL	Javanese measure
PAAN	Burmese village
PAAND	___ Ma Kettle
PAANS	Missionary's targets
PAAR	Carson's predecessor
PAAR	TV talk-show pioneer
PAARS	Jack and family.
QAARRY	Paint remover
QADI	Moslem judge
QADI	Muslim judge
QAEDA	An end to terrorism?
QAF	Town in Saudi Arabia
QAID	Muslim judge
QAID	Muslim judge of North Africa
QAIDS	Muslim administrators
QALU	Ad biz award
QAND	___ A (interview format)
RA	God of midday sun
RA	Sun god.
RAA	Chemical symbol for radium A.
RAA	British art group: Abbr.
RAAB	Broccoli ___
RAAB	New Premier of 36 Down.
RAAD	Electric catfish.
RAAD	Nile thunderfish.
RAADS	Electric catfish
RAADS	Electric catfishes
SAA	9-3 maker
SAA	Ancient Arabian measure.
SAAB	9000 automaker
SAAB	Volvo competitor
SAABS	9-3 and 9-5, e.g.
SAABS	9-3s, e.g.
SAAD	Boxer Matthew ____ Muhammad
SAADI	Persian poet
SAADI	Persian poet: 13th century
SAAG	Spinach dish with naan
T	___-square
TAA	Chinese pagoda
TAA	Chinese pagoda.
TAAL	Afrikaans
TAAL	The __ (Afrikaans)
TAANIT	___ Esther (Biblical fast)
TAAR	Arabian tambourine.
TAAR	Arabian tambourine
TAARS	Arabian tambourines.
TAAS	Pagodas.
UAB	Sch. northeast of Tuscaloosa
UAE	Arab League mbr.
UAE	Abu Dhabi's fed.
UAKARI	S. A. monkey: Var.
UAL	Ending for habit or fact
UAL	Carrier on the NYSE
UAM	Weapon at sea: Abbr.
UANCE	Subtle shade
UANDD	Variable
UANDI	Us, in a text msg
VAAL	South African river.
VAAL	River in South Africa.
VAALS	Town in Holland.
VAANT	Lionhearted
VAASA	Finnish port
VAC	Shop-___
VAC	Mini-___
VACA	Explorer Cabeza de __
VACA	Cow, in Cuba
VACANT	Unoccupied
WA	Native of Northeastern Burma.
WAA	A Fish Called ____
WAA	Crying sound effect
WAAC	Army gal
WAAC	U.S. army org.
WAACS	Female fighters in WWII
WAACS	WWII women
WAAF	Brit group of WWII
WAAF	R. A. F.'s auxiliary.
WAAFS	Airwomen.
XACE	Bridge holding
XACTO	Kind of knife
XACTO	Cutting-edge company?
XACTOS	Sharp tools
XACTOS	Small cutters
XAGE	Ancestry
XAN	Anti-anxiety drug, for short
XAN	Cake guitarist McCurdy
XANADU	Citizen Kane's estate
XANADU	Place for Kane and Khan
YAA	"Homegoing" author ___ Gyasi
YAA	"Homegoing" author Gyasi
YABBA	Flintstone yell starter
YABBA	Start of Fred's yell
YABBER	Babbling talk
YABBER	Conversation, in Sydney
YACHT	Pleasure cruiser
YACHT	The "Sequoia," for one
YACHTS	Regatta entries
YACHTS	Certain luxury fleet
ZAATAR	Mideast spice blend
ZAB	Great ___ river in Turkey.
ZABARS	Famous Manhattan deli
ZABARS	Famed Manhattan deli
ZABRA	Spanish sailing vessel.
ZABRAS	Old Spanish vessels
ZAC	___ Brown Band
ZAC	Country's ___ Brown Band
ZACH	Cherry of {/Severance/}
ZACH	Galifianakis of "Baskets"
